Season,Winners
2008,Rajasthan Royals
2009,Deccan Chargers
2010,Chennai Super Kings
2011,Chennai Super Kings (2)
2012,Kolkata Knight Riders
2013,Mumbai Indians
2014,Kolkata Knight Riders (2)
2015,Mumbai Indians (2)
2016,Sunrisers Hyderabad
2017,Mumbai Indians (3)
2018,Chennai Super Kings (3)
2019,Mumbai Indians (4)
2020,Mumbai Indians (5)
2021,Chennai Super Kings (4)
2022,Gujarat Titans
2023,Chennai Super Kings (5)
2024,Kolkata Knight Riders (3)
2025,Royal Challengers Bengaluru
2026,Royal Challengers Bengaluru (2)
